repository,owner,use_in_system,granularity,refresh,acquisition_position,caution
MahaRERA,Maharashtra RERA,"Projects, promoters, status, possession, QPRs, agent registry",Project / agent,Monthly / on change,Public portal — permitted,"Track modifications and extensions, not only the initial registration"
IGR / Registration & Stamps,Government of Maharashtra,"Registered instruments, Ready Reckoner, e-Search",Transaction / locality,Monthly / annual,Free e-Search — permitted; certified copies from the SRO,e-Search results are explicitly uncertified; Mumbai coverage from 1985
MMRDA,MMRDA,"Metro, roads, regional infrastructure status",Corridor / pocket,Quarterly / on change,Public portal — permitted,"Use status and slippage, never the headline completion date alone"
MSRDC,MSRDC,"Expressways, corridors, tunnels",Corridor,Quarterly / on change,Public portal — permitted,Clearance is not commencement; commencement is not completion
BMC / MCGM,Brihanmumbai Municipal Corporation,"Development plan, roads, civic infrastructure, ward data",Ward / pocket,Quarterly / on change,Public portal — permitted,"Verify against the latest sanctioned plan, not a news summary"
CIDCO / NMMC,"CIDCO, Navi Mumbai Municipal Corporation","Navi Mumbai planning, land, node development",Node / sector,Quarterly,Public portal — permitted,Different jurisdiction and field definitions from BMC
Census of India,Registrar General of India,Population and demographics,Ward / district,Low frequency,Public portal — permitted,"Vintage is the problem, not access; state the census year on every use"
Institutional research,Knight Frank / CBRE / ANAROCK / JLL / Colliers,"Sales, launches, inventory, QTS, absorption, office context",City / zone,Quarter / half-year,Cite and attribute; do not republish tables,Methodologies and geographic definitions differ between houses — never mix
Developer filings and price sheets,Promoters,"Price, inventory, specification, construction status",Project / unit,Weekly / monthly,Provided material — permitted,Marketing material is not a statutory filing; reconcile to the RERA record
Property portals,99acres / Magicbricks / Housing / NoBroker,"Asking price and rent, listing age, active supply",Project / pocket / unit,Daily / weekly,Manual or permitted feed only — terms of use bind,"Deduplicate, age listings, and never treat asking as transacted"
Field intelligence,Own network,"Negotiability, society rules, maintenance, true commute, quality",Pocket / project / unit,Continuous,Yours — record it the same day,Triangulate across three independent inputs; label estimate versus verified
Own CRM and closures,Own business,"True lead source, conversion, closed price, commission, objections",Client / deal / unit,Real time,"Yours — subject to DPDP notice, consent and retention","The highest-value dataset in the system, and the only one that compounds"
