source_id,category,source,url,key_fact_or_use,refresh,confidence,accessed
SRC-001,Regulation,MahaRERA — Guidance for Agents,https://maharera.maharashtra.gov.in/guidance-for-agents,Prior agent registration required before dealing/advertising/brokerage of registered projects,On rule change,High,2026-08-14
SRC-002,Regulation,MahaRERA — Agent Training & Certification,https://maharera.maharashtra.gov.in/agent-training,20-hour training + Certificate of Competency via NAREDCO / REMI / RAGC empanelled partners,On rule change,High,2026-08-14
SRC-003,Regulation,MahaRERA — Agent Registration Highlights,https://maharera.maharashtra.gov.in/highlights-of-maharera-agent-registration-detail,Five-year registration validity unless revoked; books and records obligation,On rule change,High,2026-08-14
SRC-004,Market,Knight Frank India Real Estate H1 2026,https://www.knightfrank.co.in/research,"Mumbai H1 2026 sales 47,355 (+1%); launches 49,161 (+8%); unsold 157,410; QTS 6.5; age 13.5 qtrs; avg price Rs 36,881/sqft",Half-yearly,High,2026-08-14
SRC-005,Transactions,Knight Frank / IGR coverage — H1 2026 Mumbai registrations,https://www.business-standard.com/industry/news/mumbai-property-registrations-hit-13-year-high-in-first-half-of-2026-126063000677_1.html,"BMC Mumbai H1 2026 registrations 80,221 (+6% YoY, best since 2013); stamp duty Rs 6,968 crore",Monthly,High,2026-08-14
SRC-006,Transactions,Knight Frank / IGR coverage — July 2026 Mumbai registrations,https://www.freepressjournal.in/mumbai/mumbai-logs-highest-july-property-registrations-in-14-years-stamp-duty-revenue-crosses-1200-crore,"July 2026: 13,617 registrations (+8.3% YoY); stamp duty Rs 1,223 cr (+8.9% YoY); highest July in 14 years",Monthly,High,2026-08-14
SRC-007,Infrastructure,Mumbai Metro Line 3 (Aqua) — full commissioning,https://en.wikipedia.org/wiki/Aqua_Line_(Mumbai_Metro),33.5 km fully operational; final Acharya Atre Chowk–Cuffe Parade stretch opened 8 Oct 2025,On change,High,2026-08-14
SRC-008,Infrastructure,MMRDA — Metro Line 6 (Pink) project page,https://mmrda.maharashtra.gov.in/en/projects/transport/metro-line-6/overview,15.31 km; station works 79.63% complete as at 30 Dec 2025; target mid-2026,Monthly/Quarterly,High,2026-08-14
SRC-009,Infrastructure,MMRDA — Metro Line 2B project page,https://mmrda.maharashtra.gov.in/en/projects/transport/metro-line-2b/overview,23.6 km Bandra–Kurla–Chembur corridor; western DN Nagar–Saraswat Nagar section targeted mid-2026,Monthly/Quarterly,High,2026-08-14
SRC-010,Infrastructure,Navi Mumbai International Airport — operations,https://navimumbai.adaniairports.com/en/flight-status,Inaugurated 8 Oct 2025; domestic commercial ops 25 Dec 2025; 24x7 from Feb 2026; international ops launched 2026,Monthly,High,2026-08-14
SRC-011,Tax,CBIC — GST Sectoral FAQs,https://cbic-gst.gov.in/sectoral-faq.html,"General taxable-service GST registration threshold Rs 20 lakh, subject to statutory exceptions",On rule change,High,2026-08-14
SRC-012,Tax,CBIC — GST Services Rates,https://cbic-gst.gov.in/gst-goods-services-rates.html,Heading 9972 residual real-estate services at 18%,On rule change,High,2026-08-14
SRC-013,Tax,Maharashtra stamp duty & registration — Mumbai 2026,https://www.99acres.com/articles/stamp-duty-and-registration-charges-in-mumbai.html,"Mumbai stamp duty 6% male / 5% female (incl 1% metro cess); registration 1% capped Rs 30,000",On rule change,Medium,2026-08-14
SRC-014,Valuation,Ready Reckoner rates FY2026-27 — freeze,https://propertybutler.in/insights/ready-reckoner-rate-mumbai-2026-27-no-hike,"Maharashtra froze RR rates for FY2026-27; last revision 1 Apr 2025 (Mumbai +3.39%, Thane +7.72%, state avg ~3.9%)",Annual (1 April),Medium,2026-08-14
SRC-015,Registration,"Department of Registration & Stamps, Maharashtra (IGR)",https://igrmaharashtra.gov.in/,"Registered transactions, Ready Reckoner, e-Search (free). Mumbai records from 1985; other districts from 2002. Results uncertified.",Monthly/Annual,High,2026-08-14
SRC-016,Projects,MahaRERA — Registered Project Search,https://maharera.maharashtra.gov.in/projects-search-result,"50,000+ registered projects; promoter, registration, status, quarterly progress reports",Monthly,High,2026-08-14
SRC-017,Regulation,MahaRERA — QR code and advertisement disclosure order,https://www.therealtytoday.com/news/maharera-makes-qr-code-registration-number-mandatory-in-ads-50000-penalty-for-violations,"QR code + registration number + website top-right of all ads; penalty Rs 10,000–50,000 per violation; 10-day cure",On rule change,Medium,2026-08-14
SRC-018,Regulation,MahaRERA — agent half-yearly compliance reporting,https://reraexam.com/insights/maharera-agent-certification-mandatory-training-reporting-2026,Half-yearly report of facilitated projects; penalties for delay; possible suspension of registration,On rule change,Medium,2026-08-14
SRC-019,Market,ANAROCK — MMR Q2 2026 launches and absorption,https://businessnewsthisweek.com/business/mumbai-drives-65-percent-of-mmr-launches-70-plus-percent-of-sales-in-q2-2026/,"MMR Q2 2026 launches 34,550; Mumbai 65% of supply and 70%+ of absorption; Navi Mumbai launches 8,530 (+54%), sales 5,355 (-13%); Thane launches 3,665 (+26%), sales 3,145",Quarterly,Medium,2026-08-14
SRC-020,Market,Mumbai redevelopment pipeline 2026,https://www.business-standard.com/industry/news/mumbai-redevelopment-pipeline-may-unlock-rs-15-trillion-homes-by-2031-126061500562_1.html,"Q1 2026: 70 society redevelopment agreements over 52 acres; pipeline ~Rs 1.5 trillion / ~59,000 homes by 2031; avg plot 1,850 sqm (2025) to ~3,000 sqm (2026)",Quarterly,Medium,2026-08-14
SRC-021,Office,Mumbai office market H1 2026,https://www.business-standard.com/industry/news/india-s-office-mkt-posts-record-quarterly-leasing-on-gcc-flex-demand-cbre-126070600781_1.html,"Mumbai gross absorption ~6.0 mn sqft H1 2026; BFSI 1.6 mn; GCC leasing 1.2 mn sqft; vacancy ~15%; completions +80% led by Navi Mumbai, Powai, Thane",Quarterly,Medium,2026-08-14
SRC-022,Finance,RBI policy repo rate and home loan pricing 2026,https://www.corplawupdates.in/rbi/repo-rate,"Repo 5.25% (unchanged since 5 Dec 2025); 125 bps cut through 2025; home loans from ~7.10%, typical 7.65–8.50%",Bi-monthly (MPC),Medium,2026-08-14
SRC-023,Data protection,Digital Personal Data Protection Act 2023 + DPDP Rules 2025,"https://en.wikipedia.org/wiki/Digital_Personal_Data_Protection_Rules,_2025",Rules notified 13 Nov 2025; ~18-month phase-in to ~mid-May 2027; no SME turnover exemption; penalties up to Rs 250 crore,On rule change,High,2026-08-14
SRC-024,Tax,Income-tax TDS — sections 194-IA and 194H,https://cleartax.in/s/section-194h-tds-on-commission-brokerage,"194-IA: 1% TDS on immovable property consideration >= Rs 50 lakh (Form 26QB). 194H: 2% TDS on commission/brokerage above Rs 20,000 p.a.",Annual (Finance Act),High,2026-08-14
SRC-025,Competition,MahaRERA registered agents — Maharashtra count,https://maharera.maharashtra.gov.in/agents-search-result,"~42,865 registered real-estate agents in Maharashtra as at March 2026",Monthly,Medium,2026-08-14
SRC-026,Competition,India proptech market structure 2026,https://www.imarcgroup.com/india-proptech-market,"Top-5 platforms ~45–50% of proptech revenue; India proptech USD 1.31bn (2025) to USD 3.82bn (2034), 12.26% CAGR; West India 33.2% share",Annual,Low,2026-08-14
SRC-027,Prices,Portal asking-price aggregates — MMR micro-markets,https://www.99acres.com/property-rates-and-price-trends-in-mumbai-prffid,Asking price per sqft by locality. Basis usually saleable/built-up and unstated. Directional only.,Weekly,Low,2026-08-14
SRC-028,Rental,MMR rental yield and rent growth 2026,https://www.sobha.com/blog/rental-yield-in-mumbai-best-areas-for-investment/,"Rents +5–6% YoY, +1–2% QoQ Q1 2026; prime Mumbai yields 2–4%; Thane/Navi Mumbai 4–7%; Thane avg rent ~Rs 35,635",Quarterly,Low,2026-08-14
