obligation,trigger,cost_or_penalty,cadence,source_id,criticality_1_3
MahaRERA agent registration,"Before any dealing, advertising or brokerage of a RERA-registered project","Rs 10,000 individual / Rs 1,00,000 firm; valid 5 years","Once, then 5-yearly","SRC-001,SRC-003",3
Certificate of Competency,Mandatory for registration/renewal from Jan 2026,"20-hr training Rs 5,000–8,000 + exam Rs 1,500–1,800; valid 5 years","Once, then 5-yearly",SRC-002,3
QR code & disclosure in advertisements,"Every advertisement, digital or print","Rs 10,000–50,000 per violation; 10-day cure then continuing offence",Every campaign asset,SRC-017,3
Half-yearly compliance report,Registered agent facilitating transactions,Penalty for delay; possible suspension of registration,Half-yearly,SRC-018,3
"Books, records and client files",Statutory obligation on registered agents,Suspension risk; evidential exposure in disputes,Continuous,SRC-003,2
GST registration,"Aggregate taxable turnover above Rs 20 lakh (services), subject to exceptions",18% on brokerage under heading 9972,Monthly/quarterly returns,"SRC-011,SRC-012",2
TDS on commission received (194H),"Payer deducts 2% above Rs 20,000 p.a.",Cash-flow effect; reconcile in 26AS/AIS,Per payment,SRC-024,1
Advise client on 194-IA,Buyer must deduct 1% where consideration >= Rs 50 lakh,Client-side penalty exposure; Form 26QB within 30 days,Per transaction,SRC-024,2
"DPDP notice, consent & retention",Any collection of client personal data,Phase-in to ~mid-May 2027; penalties up to Rs 250 crore,Continuous,SRC-023,3
Data breach notification readiness,Any personal-data breach,Notification to Board and affected persons,On incident,SRC-023,2
Income-tax return & advance tax,Entity-level obligation,Slab (proprietorship) / 31.2% (LLP) / 25.17% (Pvt Ltd u/s 115BAA),Quarterly + annual,SRC-031,2
Written brokerage terms per engagement,Before first closure,Unrecoverable commission risk without written terms,Per client,SRC-001,2
