project,developer,locality,scale_acres,units,config,rate_inr_psf,area_basis,evidence,notes
SUBJECT (Hines x Sumitomo),Powai Lake Residential Pvt Ltd,Chandivali/Powai,3.2,250,3 & 4 BHK,55000,RERA carpet (stated),S,Ask price; channel expectation was 45000-48000
Chandivali average,,Chandivali,,,mixed,33600,area average,V,Range 33200-34050
Nahar Chandi Valley,Nahar Group,Chandivali,,,2 & 3 BHK,32600,RERA carpet,V,1100 sqft = 3.52 Cr; 1550 sqft = 5.14 Cr
JVLR market reference,,JVLR,,,,40000,unstated,S,Partner's own benchmark raised in the briefing
Powai average,,Powai,,,mixed,42650,area average,V,Aug 2026; up from 38150 in Sep 2025
Hiranandani Gardens (txn avg),Hiranandani,Powai,250,,1-5 BHK,43930,carpet,V,Average transacted rate
Hiranandani Gardens (ask avg),Hiranandani,Powai,250,,1-5 BHK,50950,carpet,V,Average asking rate
Hiranandani Verona,Hiranandani,Powai,,,,54700,carpet,V,Premium society
Hiranandani Glen Dale,Hiranandani,Powai,,,,57600,carpet,V,Premium society
Hiranandani Octavius,Hiranandani,Powai,,,,58350,carpet,V,Highest-priced society in the township
Hiranandani new inventory,Hiranandani,Powai,,,,72500,unstated,S,"Claimed 70000-75000 in the briefing; NOT corroborated publicly - verify"
L&T Emerald Isle (lake view),L&T Realty,Powai,19,,2 & 3 BHK,75000,unstated,S,"Claimed transacting at 75000 for lake-view units - verify"
Raheja Modern Vivarea,K Raheja Corp,Mahalaxmi,,,3-5 BHK,71400,carpet,V,South Mumbai ceiling reference only
Raheja Vihar,K Raheja Corp,Chandivali,,,1-4 BHK,33500,area average,V,Township
