area,v1_position,v2_position,why_it_matters,source_id
Certificate of Competency,Certification described as a capacity-building programme agents 'should' complete.,"Mandatory from January 2026. Registration and renewal are gated on it. It is a 20-hour programme plus exam through NAREDCO, REMI or RAGC and takes real calendar time.",This is now the critical path for the entire venture. Week-1 booking is non-negotiable; no compliant revenue exists before it is issued.,SRC-002
Advertising compliance,Not addressed.,"QR code, MahaRERA number and website must appear top-right on every advertisement, at a font size at least as large as the largest contact detail. Rs 10,000–50,000 per violation.","Every WhatsApp brief, listing and social post in the lead engine is an advertisement. The lead engine cannot launch before the artwork template exists.",SRC-017
Half-yearly reporting,Not addressed.,Registered agents must file a half-yearly report of facilitated projects. Delay attracts penalty and possible suspension.,"A recurring compliance obligation that must be designed into the record-keeping schema from week 1, not retrofitted at month 6.",SRC-018
DPDP Act,Mentioned only as 'KYC/privacy/consent workflow'.,"DPDP Rules were notified 13 Nov 2025 with phase-in to approximately mid-May 2027. There is no small-business exemption. Notice, consent, purpose limitation, retention and breach notification all apply to a one-person brokerage.",Lead and KYC data is the core operating asset. Building the consent layer later means re-collecting consent across the entire client base.,SRC-023
Unsold inventory direction,Workbook note read 'reported down 4% in cited coverage'.,"Top-8 unsold inventory rose 4% YoY to 525,695 units. Mumbai holds the largest pool at 157,410.",The direction was inverted. Rising inventory strengthens the selection-and-negotiability thesis rather than weakening it — but it must be stated correctly.,SRC-032
Absorption metrics missing,"Sales, launches and inventory given as absolute counts only.","Mumbai QTS is 6.5 quarters and age of unsold inventory is 13.5 quarters, improved from 14.3.","Absolute counts do not tell you whether a market is sellable. QTS and inventory age are the metrics that price negotiability, and they are the ones a client will ask about.",SRC-004
Infrastructure status,Metro Line 6 at 79.63% and NMIA 'operational live flight status' were the only two infrastructure facts carried.,"Metro Line 3 is fully commissioned (Oct 2025). NMIA runs 24x7 with international services. Metro 2B, 4/4A and 6 are all in 2026 commissioning windows. Coastal Road Phase 2, the Thane–Borivali tunnel, Metro 8 and the Virar–Alibaug corridor sit further out.",Scoring a corridor on an announced asset and an operational asset identically is the most common analytical error in Indian real-estate research. The status ladder now carries a weight multiplier so operational assets dominate.,"SRC-007,SRC-008,SRC-009,SRC-010,SRC-029"
Ready Reckoner rates,Listed as an annual refresh with no current reading.,Maharashtra froze RR rates for FY2026-27. The last revision was 1 April 2025 (Mumbai +3.39%).,RR is the floor under stamp duty and a live negotiation input. A frozen year is itself a material fact for any client comparing the cost of transacting now versus later.,SRC-014
Transaction cost stack,Referred to generally as 'transaction costs'.,"Mumbai: 6% stamp duty for male buyers, 5% for female sole owners (both include 1% metro cess), plus 1% registration capped at Rs 30,000, plus 1% TDS under 194-IA above Rs 50 lakh. The 15-year resale lock-in on the women's concession was removed in 2026.",This is 7–8% of consideration. It belongs in every affordability calculation and is one of the highest-value things an advisor can get right on day one.,"SRC-013,SRC-024"
Priority model weights and scores,Weights summed correctly but the workbook and CSV disagreed with each other and with the PDF narrative (Eastern/Central appeared as both rank 1 and rank 2; scores differed in the second decimal between artefacts).,"A single weight vector and score table now live in one file and generate every artefact. Execution simplicity is up-weighted from 0.09 to 0.14 and competitive whitespace scores are re-based against the 42,865 registered agents in Maharashtra.","Three artefacts disagreeing on the headline recommendation destroys the credibility of the whole system. One source, one number, everywhere.",SRC-025
Recommended entry corridor,Narrative recommended the Eastern/Central corridor while the model ranked Navi Mumbai first — the contradiction was acknowledged but not resolved.,"Eastern/Central ranks first on the corrected model (8.00) and the narrative agrees with it. Thane is second (7.68) because it is contiguous with the pilot belt and Metro 4 links them. Navi Mumbai and the Western Suburbs tie on 7.48; the tie is broken toward Navi Mumbai on competitive whitespace, and the tie is shown rather than hidden.","The model and the recommendation must agree, or one of them is decoration. Where the model genuinely cannot separate two options, saying so is more useful than inventing a third decimal.",model
Yield mechanics in the workbook,"Locality scorecard used a 650 sqft carpet placeholder against a Rs 75,000 rent, producing gross yields of 4.2–5.8% for Powai.","Portal and market evidence puts prime Eastern-corridor gross yields at roughly 2.5–3.5%, and 3.4–4.8% in Thane and Navi Mumbai.",A yield figure inflated by around 40% would mislead an investor client on the very first screen. Placeholders must be labelled and must sit inside a plausible band.,SRC-028
Revenue model detail,"'Brokerage/advisory first' with no rate, mix, lag or tax treatment.","Commission conventions, a segment mix, payout lags, 18% GST and 2% TDS under 194H are now modelled explicitly, with a funnel in three scenarios and a runway curve.","Without a cash model, 'revenue-first' is a slogan. The runway curve is what tells the founder how much capital the plan actually needs.","SRC-012,SRC-024"
Workload allocation,One chart of Year-1 effort shares.,"A 55-hour weekly capacity budget allocated across six workstreams for twelve months, plus a week-by-week 90-day plan with hours attached to every line.",'Divide the work' means naming the hours. A plan that does not fit inside a week is not a plan.,model
