line_item,one_off_rs,monthly_rs,note
MahaRERA agent registration (individual),10000,0,SRC-002 / SRC-003
Certificate of Competency — training + exam,9000,0,"20-hr programme + exam, mid of Rs 6.5k–9.8k range"
"Entity, PAN/TAN, GST, CA onboarding",18000,0,proprietorship or LLP; SRC-031
Professional indemnity + basic insurance,12000,0,optional but recommended
Accounting & compliance retainer,0,4000,"CA retainer, GST + TDS filings"
Data & subscriptions,0,6000,"portal listings, records, mapping"
Field research & travel,0,12000,"site visits, commute audits, broker meetings"
Marketing & content,0,8000,"briefs, search content, collateral"
"Phone, internet, tools, CRM",0,5000,"workbook-first, minimal SaaS"
Founder drawings (living),0,60000,set to personal minimum; the true runway driver
